id;quote;author
80;Oh rage! Oh despair! Oh age, my enemy!;Pierre Corneille
81;I don't want to fight aging I want to take good care of myself, but plastic surgery and all that? I'm not interested.;Christine Lahti
82;Middle age is the time when a man is always thinking that in a week or two he will feel as good as ever.;Don Marquis
83;We should so provide for old age that it may have no urgent wants of this world to absorb it from meditation on the next. It is awful to see the lean hands of dotage making a coffer of the grave.;Pearl S. Buck
84;Middle age is the awkward period when Father Time starts catching up with Mother Nature.;Harold Coffin
85;Middle age is youth without levity, and age without decay.;Doris Day
86;No man is ever old enough to know better.;Holbrook Jackson
87;The denunciation of the young is a necessary part of the hygiene of older people, and greatly assists the circulation of the blood.;Logan P. Smith
88;In youth we run into difficulties. In old age difficulties run into us.;Beverly Sills
89;We pay when old for the excesses of youth.;J. B. Priestley
90;The answer to old age is to keep one's mind busy and to go on with one's life as if it were interminable. I always admired Chekhov for building a new house when he was dying of tuberculosis.;Leon Edel
91;We've put more effort into helping folks reach old age than into helping them enjoy it.;Frank A. Clark
92;The real sadness of fifty is not that you change so much but that you change so little.;Max Lerner
93;I'm not afraid of aging.;Shelley Duvall
94;He has a profound respect for old age. Especially when it's bottled.;Gene Fowler
95;Whatever poet, orator or sage may say of it, old age is still old age.;Sinclair Lewis
96;To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent - that is to triumph over old age.;Thomas Bailey Aldrich
97;In old age we are like a batch of letters that someone has sent. We are no longer in the past, we have arrived.;Knut Hamsun
98;There's no such thing as old age, there is only sorrow.;Fay Weldon
99;Those who love deeply never grow old they may die of old age, but they die young.;Dorothy Canfield Fisher
100;I get all fired up about aging in America.;Willard Scott
101;The really frightening thing about middle age is the knowledge that you'll grow out of it.;Doris Day
102;There is an anti-aging possibility, but it has to come from within.;Susan Anton
103;The lovely thing about being forty is that you can appreciate twenty-five-year-old men more.;Colleen McCullough
104;When a noble life has prepared old age, it is not decline that it reveals, but the first days of immortality.;Muriel Spark
105;The whole business of marshaling one's energies becomes more and more important as one grows older.;Hume Cronyn
106;The tendency of old age to the body, say the physiologists, is to form bone. It is as rare as it is pleasant to meet with an old man whose opinions are not ossified.;Bob Wells
107;Old age adds to the respect due to virtue, but it takes nothing from the contempt inspired by vice it whitens only the hair.;Ira Gershwin
108;As men get older, the toys get more expensive.;Marvin Davis
109;I find that a man is as old as his work. If his work keeps him from moving forward, he will look forward with the work.;William Ernest Hocking
110;Common sense is the collection of prejudices acquired by age eighteen.;Albert Einstein
111;Reading, after a certain age, diverts the mind too much from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.;Albert Einstein
112;Confusion of goals and perfection of means seems, in my opinion, to characterize our age.;Albert Einstein
113;Perfection of means and confusion of ends seem to characterize our age.;Albert Einstein
114;The age of a woman doesn't mean a thing. The best tunes are played on the oldest fiddles.;Ralph Waldo Emerson
115;Life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen.;Mark Twain
116;A stockbroker urged me to buy a stock that would triple its value every year. I told him, 'At my age, I don't even buy green bananas.';Claude Pepper
117;When marrying, ask yourself this question: Do you believe that you will be able to converse well with this person into your old age? Everything else in marriage is transitory.;Friedrich Nietzsche
118;Probably the happiest period in life most frequently is in middle age, when the eager passions of youth are cooled, and the infirmities of age not yet begun as we see that the shadows, which are at morning and evening so large, almost entirely disappear at midday.;Eleanor Roosevelt
119;Age is whatever you think it is. You are as old as you think you are.;Muhammad Ali
120;As human beings, our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves.;Mahatma Gandhi
121;A man loves the meat in his youth that he cannot endure in his age.;William Shakespeare
122;In every country and every age, the priest had been hostile to Liberty.;Thomas Jefferson
123;The heresy of one age becomes the orthodoxy of the next.;Helen Keller
124;The golden age is before us, not behind us.;William Shakespeare
125;Every formula of every religion has in this age of reason, to submit to the acid test of reason and universal assent.;Mahatma Gandhi
126;Thomas Jefferson once said, 'We should never judge a president by his age, only by his works.' And ever since he told me that, I stopped worrying.;Ronald Reagan
127;No woman should ever be quite accurate about her age. It looks so calculating.;Oscar Wilde
128;At twenty years of age the will reigns at thirty, the wit and at forty, the judgment.;Benjamin Franklin
129;Age does not protect you from love. But love, to some extent, protects you from age.;Anais Nin
130;Information is the oxygen of the modern age. It seeps through the walls topped by barbed wire, it wafts across the electrified borders.;Ronald Reagan
131;Old age is just a record of one's whole life.;Muhammad Ali
132;We prefer world law in the age of self-determination to world war in the age of mass extermination.;John F. Kennedy
133;Each age, it is found, must write its own books or rather, each generation for the next succeeding.;Ralph Waldo Emerson
134;Education is the best provision for old age.;Aristotle
135;The secret of staying young is to live honestly, eat slowly, and lie about your age.;Lucille Ball
136;Sometimes I think it would be easier to avoid old age, to die young, but then you'd never complete your life, would you? You'd never wholly know you.;Marilyn Monroe
137;I don't think of myself as a poor deprived ghetto girl who made good. I think of myself as somebody who from an early age knew I was responsible for myself, and I had to make good.;Oprah Winfrey
138;The kids are old enough now - I just want to let them be kids. I don't want to comment on them too much. They're at an age where I just want to let them be kids.;Eminem
139;He who is of calm and happy nature will hardly feel the pressure of age, but to him who is of an opposite disposition youth and age are equally a burden.;Plato
140;Why should society feel responsible only for the education of children, and not for the education of all adults of every age?;Erich Fromm
141;I've got volumes on how not to behave. I've got more information now than a guy should have at my age.;Charlie Sheen
142;I'm at the age where food has taken the place of sex in my life. In fact, I've just had a mirror put over my kitchen table.;Rodney Dangerfield
